"","id","address","lat","lng","carpark_type","rate_half_hr","capacity","rate","extracted_address"
"176","657","271A Scarlett Road",43.67789,-79.506555,"Surface",1,11,"1.00","271A Scarlett Road"
"177","658","2054 Dufferin Street",43.686611,-79.446806,"Surface",1,94,"1.00","2054 Dufferin Street"
"178","659","341 Oakwood Avenue",43.686479,-79.43819,"Surface",1,22,"1.00","341 Oakwood Avenue"
"179","660","406 Oakwood Avenue",43.688069,-79.439317,"Surface",1,19,"1.00","406 Oakwood Avenue"
"180","661","433 Rogers Road",43.682507,-79.463983,"Surface",1,28,"1.00","433 Rogers Road"
"181","663","1 Shortt Street",43.695951,-79.451795,"Surface",1,130,"1.00","1 Shortt Street"
"182","667","1531 Eglinton Avenue West",43.697588,-79.440712,"Surface",1,23,"1.00","1531 Eglinton Avenue West"
"183","668","2700 Eglinton Avenue West",43.690203,-79.477919,"Surface",2,109,"2.00","2700 Eglinton Avenue West"
"184","669","2700 Eglinton Avenue West",43.690792,-79.478585,"Surface",2,38,"2.00","2700 Eglinton Avenue West"
"185","670","2053 Dufferin Street",43.6866,-79.446383,"Surface",1,23,"1.00","2053 Dufferin Street"
"186","674","2623 Eglinton Avenue West",43.689981,-79.475222,"Surface",1,13,"1.00","2623 Eglinton Avenue West"
"187","675","4 Rosemount Avenue",43.7013911,-79.5138189,"Surface",1,34,"1.00","4 Rosemount Avenue"
"188","700","101 Grangeway Avenue",43.775378,-79.250093,"Surface",1,261,"1.00","101 Grangeway Avenue"
"189","701","197 Blantyre Avenue",43.68177,-79.281496,"Surface",1,83,"1.00","197 Blantyre Avenue"
"190","702","1 Brimley Road (Bluffer's Park)",43.70664,-79.235437,"Surface",1.5,232,"1.50","1 Brimley Road "
"191","703","1 Brimley Road (Bluffer's Park)",43.707446,-79.234632,"Surface",1.5,128,"1.50","1 Brimley Road "
"192","705","1 Brimley Road (Bluffer's Park)",43.712603,-79.230051,"Surface",1.5,168,"1.50","1 Brimley Road "
"193","706","284 Milner Avenue",43.789429,-79.238387,"Surface",2,103,"2.00","284 Milner Avenue"
"194","707","1530 Markham Road - minor capital repairs onsite",43.789507,-79.237915,"Surface",2.5,24,"2.50","1530 Markham Road "
"195","709","1940 Lawrence Avenue East",43.744476,-79.299188,"Surface",1,25,"1.00","1940 Lawrence Avenue East"
"196","710","100 Grangeway Avenue",43.77458,-79.251359,"Surface",1,214,"1.00","100 Grangeway Avenue"
"197","711","158 Borough Drive",43.772181,-79.256377,"Surface",1,16,"1.00","158 Borough Drive"
"198","801","Kipling South Lot - 400 Munster Avenue",43.636572,-79.534117,"Surface",0,1200,"0.00","Kipling South Lot "
"199","802","Islington Main Lot - 3330 Bloor Street West",43.644181,-79.526188,"Surface",0,534,"0.00","Islington Main Lot "
"200","804","Islington Lomond Lot - 20 Lomond Drive",43.646774,-79.522862,"Surface",0,283,"0.00","Islington Lomond Lot "
"201","805","Keele Lot - 400 Indian Road",43.655818,-79.457159,"Surface",0,187,"0.00","Keele Lot "
"202","810","Wilson South Lot - 30 Tippett Road",43.733662,-79.447117,"Surface",0,645,"0.00","Wilson South Lot "
"203","811","Wilson Main Lot - 50 Wilson Heights Blvd",43.736244,-79.449177,"Surface",0,885,"0.00","Wilson Main Lot "
"204","813","Finch West Lot - 18 Hendon Ave",43.782032,-79.416368,"Surface",0,1552,"0.00","Finch West Lot "
"205","814","Finch East - 814 Willowdale Ave - partial closure, reduced spaces",43.782319,-79.415907,"Surface",0,900,"0.00","Finch East "
"206","815","Leslie Lot - 2760 Old Leslie Street",43.770058,-79.367484,"Surface",0,102,"0.00","Leslie Lot "
"207","816","Don Mills Lot - 1800 Sheppard Ave East",43.775815,-79.346707,"Surface",0,366,"0.00","Don Mills Lot "
"208","817","Ellesmere Lot - Near 1050 Ellesmere Road - closed for construction until November 2019",43.766793,-79.276394,"Surface",0,68,"0.00","Ellesmere Lot "
"209","818","Lawrence East Lot - Near 2450 Lawrence Ave East",43.750477,-79.270269,"Surface",0,90,"0.00","Lawrence East Lot "
"210","821","Kennedy South Lot -155 Transway Cres",43.731844,-79.263471,"Surface",0,673,"0.00","Kennedy South Lot "
"211","822","Warden North Lot - 705 Warden Ave",43.715522,-79.28131,"Surface",0,920,"0.00","Warden North Lot "
"212","823","Warden South Lot - 701 Warden Ave",43.710032,-79.27979,"Surface",0,151,"0.00","Warden South Lot "
"213","824","Victoria Main Lot - 777 Victoria Park Avenue",43.693563,-79.289052,"Surface",0,173,"0.00","Victoria Main Lot "
"214","826","Kennedy North Service Road - 2450 Eglinton Ave East",43.734117,-79.263977,"Surface",0,199,"0.00","Kennedy North Service Road "
"215","827","Downsview Lot - 415 William R Allen Rd",43.747011,-79.459006,"Surface",0,632,"0.00","Downsview Lot "
"216","829","Transit Road Lot - 25 Transit Rd",43.733843,-79.452436,"Surface",0,72,"0.00","Transit Road Lot "
"217","831","22 Fieldway Rd",43.642473,-79.52754,"Surface",0,270,"0.00","22 Fieldway Rd"
"218","833","3950 Keele Street",43.7655225,-79.491758,"Surface",1.5,335,"1.50","3950 Keele Street"
"219","834","2800 Steeles Ave W.",43.7778992,-79.5111635,"Surface",0,1881,"0.00","2800 Steeles Ave W."
"220","835","7332 Jane St",43.7822568,-79.521934,"Surface",2.5,53,"2.50","7332 Jane St"
