"","X","id","address","lat","lng","capacity","Convert","n_business","distance","n_customers","time_spent","traffic_volume"
"165",165,529,"65 Colonel Samuel Smith Park Drive",43.593757,-79.516468,210,0,20,0.064224219206112,32.9,1.66754007925508,179
"166",166,532,"14 Barkwin Dr.",43.738381,-79.5652828,23,0,20,0.0437671751302328,26.4,0.87978123877102,176
"167",167,533,"2300 Lake shore Boulevard West",43.6184744,-79.4867386,23,1,20,0.030435772066238,32.9,1.66754007925508,103
"168",168,534,"15 Marine Parade Drive",43.6267898,-79.4767453,14,0,20,0.0225888619842167,27.35,1.38007882302595,131
"169",169,600,"550 Mortimer Avenue",43.6905916,-79.3275032,20,0,20,0.00562719494503776,27.4,1.18911205668035,138
"170",170,602,"1503 Bayview Avenue",43.703909,-79.374332,25,0,20,0.000925040451624173,28.4,2.868915200496,103
"171",171,651,"1169 Weston Road",43.687441,-79.4903,47,0,20,0.0137115877149039,21.55,2.32642221346722,69
"172",172,652,"301 Scott Road",43.690343,-79.472383,14,0,20,0.00918727671525235,26.25,1.81862057088553,168
"173",173,653,"17 Riverview Gardens",43.649119,-79.486397,113,0,20,0.00249195526150172,33.9,1.88295940535974,179
"174",174,654,"16 Riverview Gardens",43.648894,-79.486663,54,0,20,0.00280403228189804,33.9,1.88295940535974,202
"175",175,656,"1A Mould Avenue",43.668423,-79.486953,7,0,20,0.0019673306036438,30.45,1.28724518157291,83
"176",176,657,"271A Scarlett Road",43.67789,-79.506555,11,0,20,0.0169962599469327,16.45,2.16917444851033,149
"177",177,658,"2054 Dufferin Street",43.686611,-79.446806,94,0,20,0.00688081335617944,29.4,1.75499867933805,146
"178",178,659,"341 Oakwood Avenue",43.686479,-79.43819,22,0,20,0.001057536841623,29.15,1.62841667994869,149
"179",179,660,"406 Oakwood Avenue",43.688069,-79.439317,19,0,20,0.00143856050803758,31.6,1.70325823832735,133
"180",180,661,"433 Rogers Road",43.682507,-79.463983,28,0,20,0.0087856595479712,25.55,1.56995625973107,190
"181",181,663,"1 Shortt Street",43.695951,-79.451795,130,0,20,0.0034091066144436,28.45,1.60314468833255,122
"182",182,667,"1531 Eglinton Avenue West",43.697588,-79.440712,23,0,20,0.00770196810816834,26.5,1.91797185868819,111
"183",183,668,"2700 Eglinton Avenue West",43.690203,-79.477919,109,0,20,0.00987478234785061,26.25,1.81862057088553,156
"184",184,669,"2700 Eglinton Avenue West",43.690792,-79.478585,38,0,20,0.0105374889741569,26.25,1.81862057088553,156
"185",185,670,"2053 Dufferin Street",43.6866,-79.446383,23,0,20,0.00646995019060283,29.4,1.75499867933805,146
"186",186,674,"2623 Eglinton Avenue West",43.689981,-79.475222,13,0,20,0.00893828703902818,26.25,1.81862057088553,177
"187",187,675,"4 Rosemount Avenue",43.7013911,-79.5138189,34,0,20,0.0184938336071673,22.85,0.987143392358896,144
"188",188,700,"101 Grangeway Avenue",43.775378,-79.250093,261,0,20,0.0754885344176862,24.05,3.26277370746446,178
"189",189,701,"197 Blantyre Avenue",43.68177,-79.281496,83,0,20,0.00759050943537871,27.15,1.74927001768343,118
"190",190,702,"1 Brimley Road (Bluffer's Park)",43.70664,-79.235437,232,0,20,0.0559777061408547,24.55,1.3242031401,236
"191",191,703,"1 Brimley Road (Bluffer's Park)",43.707446,-79.234632,128,0,20,0.0569986461679948,26.55,1.28688258858914,236
"192",192,705,"1 Brimley Road (Bluffer's Park)",43.712603,-79.230051,168,0,20,0.0630908247582426,26.55,1.28688258858914,254
"193",193,706,"284 Milner Avenue",43.789429,-79.238387,103,0,20,0.0918363240843969,24.35,2.38238802212614,169
"194",194,707,"1530 Markham Road - minor capital repairs onsite",43.789507,-79.237915,24,0,20,0.0922807905986081,24.35,2.38238802212614,169
"195",195,709,"1940 Lawrence Avenue East",43.744476,-79.299188,25,0,20,0.0218272359625878,21.55,2.41069627027241,269
"196",196,710,"100 Grangeway Avenue",43.77458,-79.251359,214,0,20,0.0740576488621227,24.05,3.26277370746446,196
"197",197,711,"158 Borough Drive",43.772181,-79.256377,16,0,20,0.0687326670829897,24.85,3.12048389144775,270
"198",198,801,"Kipling South Lot - 400 Munster Avenue",43.636572,-79.534117,1200,0,20,0.0509022863239498,21.85,1.87162054226084,226
"199",199,802,"Islington Main Lot - 3330 Bloor Street West",43.644181,-79.526188,534,0,20,0.040738289612635,21.4,1.79665273746601,223
"200",200,804,"Islington Lomond Lot - 20 Lomond Drive",43.646774,-79.522862,283,0,20,0.0367716357160109,21.1,1.90440778993142,223
"201",201,805,"Keele Lot - 400 Indian Road",43.655818,-79.457159,187,0,20,0.00154523826037689,31.7,1.14129349149402,181
"202",202,810,"Wilson South Lot - 30 Tippett Road",43.733662,-79.447117,645,0,20,0.00683234606768177,28.65,1.13237223216636,282
"203",203,811,"Wilson Main Lot - 50 Wilson Heights Blvd",43.736244,-79.449177,885,0,20,0.00691566356212526,27.9,1.08518310238286,243
"204",204,813,"Finch West Lot - 18 Hendon Ave",43.782032,-79.416368,1552,0,20,0.034098540930281,24.55,2.54105968408778,86
"205",205,814,"Finch East - 814 Willowdale Ave - partial closure, reduced spaces",43.782319,-79.415907,900,0,20,0.0346017019888872,24.55,2.54105968408778,140
"206",206,815,"Leslie Lot - 2760 Old Leslie Street",43.770058,-79.367484,102,0,20,0.0151571685280078,26.5,1.58202889070078,237
"207",207,816,"Don Mills Lot - 1800 Sheppard Ave East",43.775815,-79.346707,366,0,20,0.020651329007226,31.15,1.85860126500916,209
"208",208,817,"Ellesmere Lot - Near 1050 Ellesmere Road - closed for construction until November 2019",43.766793,-79.276394,68,0,20,0.0494782415332126,22.6,3.0991207418926,338
"209",209,818,"Lawrence East Lot - Near 2450 Lawrence Ave East",43.750477,-79.270269,90,0,20,0.0459111082966884,22.6,4.08499520092476,261
"210",210,821,"Kennedy South Lot -155 Transway Cres",43.731844,-79.263471,673,0,20,0.0425332229593423,24.35,2.66250175327842,141
"211",211,822,"Warden North Lot - 705 Warden Ave",43.715522,-79.28131,920,0,20,0.0225427253270001,24.35,2.66250175327842,195
"212",212,823,"Warden South Lot - 701 Warden Ave",43.710032,-79.27979,151,0,20,0.0218528401161464,27.1,1.12785853988765,158
"213",213,824,"Victoria Main Lot - 777 Victoria Park Avenue",43.693563,-79.289052,173,0,20,0.00390127026061936,26.4,1.23895565735861,161
"214",214,826,"Kennedy North Service Road - 2450 Eglinton Ave East",43.734117,-79.263977,199,0,20,0.0428596713724896,25.9,2.94401851589717,156
"215",215,827,"Downsview Lot - 415 William R Allen Rd",43.747011,-79.459006,632,0,20,0.0070059236505273,25.6,2.3377665849862,153
"216",216,829,"Transit Road Lot - 25 Transit Rd",43.733843,-79.452436,72,0,20,0.00354148536868526,28.9,1.14544388804212,272
"217",217,831,"22 Fieldway Rd",43.642473,-79.52754,270,0,20,0.0425895125863503,21.85,1.87162054226084,223
"218",218,833,"3950 Keele Street",43.7655225,-79.491758,335,0,20,0.00245637735538973,27.05,0.920853948240935,166
"219",219,834,"2800 Steeles Ave W.",43.7778992,-79.5111635,1881,0,20,0.00984290502341183,37.05,2.72028449562019,195
"220",220,835,"7332 Jane St",43.7822568,-79.521934,53,0,20,0.0213823932061439,36.05,2.75842496196381,274
