"","Category","Operating.Name","city","Zip","Street","Address","lat","long","lamda","mu","qCustomer","tCustomer"
"73","PUBLIC GARAGE","EAST AUTO BODY","TORONTO, ON","M4B 1E3","GOWER ST","13 GOWER ST,TORONTO, ON,M4B 1E3",43.70208577,-79.29741582,20,2,18,0.630676432491696
"74","EATING ESTABLISHMENT","TIM HORTONS","TORONTO, ON","M4B 2T8","O'CONNOR DR","1500 O'CONNOR DR,TORONTO, ON,M4B 2T8",43.71375497,-79.30657653,45,0.5,44,0.034905725158751
"75","EATING ESTABLISHMENT","DUFFY'S DRIVE-IN","TORONTO, ON","M4B 2E6","DAWES RD","399 DAWES RD,TORONTO, ON,M4B 2E6",43.7021229,-79.2967369,45,0.5,46,0.580263094976544
"76","EATING ESTABLISHMENT","SWISS CHALET","TORONTO, ON","M4B 2T8","O'CONNOR DR","1400 O'CONNOR DR,TORONTO, ON,M4B 2T8",43.712842,-79.3075535,45,0.5,42,0.0552564649524085
"77","EATING ESTABLISHMENT","PIZZA PIZZA","TORONTO, ON","M4B 2S6","O'CONNOR DR","796 O'CONNOR DR,TORONTO, ON,M4B 2S6",43.7050419,-79.3135303,45,0.5,57,0.694426517002285
"78","EATING ESTABLISHMENT","EL SAZON DE LA TIA FLOR","TORONTO, ON","M4B 2V7","O'CONNOR DR","1549 O'CONNOR DR,TORONTO, ON,M4B 2V7",43.7153537,-79.3047699,45,0.5,38,2.2092675398195
"79","EATING ESTABLISHMENT","MAYA'S HALA PIZZA & GRILL","TORONTO, ON","M4B 2V7","O'CONNOR DR","1555 O'CONNOR DR,TORONTO, ON,M4B 2V7",43.71484609,-79.30530656,45,0.5,44,5.59822419252167
"80","EATING ESTABLISHMENT","PIZZAIOLO","TORONTO, ON","M4B 3M1","ST CLAIR AVE E","2640 ST CLAIR AVE E,TORONTO, ON,M4B 3M1",43.70527551,-79.31375644,45,0.5,50,1.1733275372535
"81","EATING ESTABLISHMENT","SLAYER BURGER","TORONTO, ON","M4B 2T8","O'CONNOR DR","1400 O'CONNOR DR,TORONTO, ON,M4B 2T8",43.712842,-79.3075535,45,0.5,34,0.748608182184398
"82","EATING ESTABLISHMENT","CHEFFYS","TORONTO, ON","M4B 2V7","O'CONNOR DR","1559 O'CONNOR DR,TORONTO, ON,M4B 2V7",43.7150119,-79.304977,45,0.5,36,1.06935918821311
"83","EATING ESTABLISHMENT","EAGLE'S LOUNGE","TORONTO, ON","M4B 2V7","O'CONNOR DR","1563 O'CONNOR DR,TORONTO, ON,M4B 2V7",43.7150816,-79.304913,45,0.5,35,0.395368231087656
"84","EATING ESTABLISHMENT","ISLAND SPICE FLAVOUR","TORONTO, ON","M4B 3M1","ST CLAIR AVE E","2636-2638 ST CLAIR AVE E,TORONTO, ON,M4B 3M1",43.7051789,-79.3138517,45,0.5,47,0.328373089432716
"85","CLOTHING DROP BOX LOCATION PERMIT","OASIS CLOTHING BANK","TORONTO, ON","M4B 3H6","CRANFIELD RD","41 CRANFIELD RD,TORONTO, ON,M4B 3H6",43.7145315,-79.30948979,5,0.15,5,9.42679554168002
"86","CLOTHING DROP BOX LOCATION PERMIT","OASIS CLOTHING BANK","TORONTO, ON","M4B 3M1","ST CLAIR AVE E","2636 ST CLAIR AVE E,TORONTO, ON,M4B 3M1",43.7053584,-79.3137328,5,0.15,6,1.75821663190921
"87","SIDEWALK CAFE","ISLAND SPICE FLAVOUR","TORONTO, ON","M4B 3M1","ST CLAIR AVE E","2636-2638 ST CLAIR AVE E,TORONTO, ON,M4B 3M1",43.7051789,-79.3138517,30,0.3,26,2.12167256751903
